isbn	title	author	publisher	year_published	dewey_decimal	lcc_number	subjects
9780486650845	Introduction to difference equations	Goldberg, Samuel I.	Dover Publications	1986	515.625	QA431	amazon_com_science_mathematics_pure_mathematics_calculus|amazon_com_professional_technical_professional_science_mathe|difference_equations|social_sciences_mathematical_models
9780387329178	Introduction to variance estimation	Wolter, Kirk M.	Springer	2007	519.538		analysis_of_variance|estimation_theory
9780139316500	Japanese candlestick charting techniques	Nison, Steve	New York Institute of Finance	1991	332.6322	HG4638	stocks_charts_diagrams_etc|investment_analysis|investment_analysis_aaaa0
9780764535420	JavaServer pages	Whitehead, Paul C.	Hungry Minds	2001	5.2762	TK5105.8885	amazon_com_computers_internet_web_development_internet_comme|amazon_com_computers_internet_networking_internet_groupware_|amazon_com_computers_internet_programming_general|amazon_com_computers_internet_web_development_scripting_prog|javaserver_pages|java_computer_program_language|web_sites_design|web_site_development
9780471042990	Joint application development	Wood, Jane|Silver, Denise	Wiley	1995	4.21	QA76.9	system_design_methodology
9780763717087	Lebesgue integration on Euclidean space	Jones, Frank C.	Jones and Bartlett	2001	515.42	QA312	measure_theory|lebesgue_integral
9780201824780	Linear algebra and its applications	Lay, David C.	Addison-Wesley	1997	512.5	QA184	algebras_linear
9780321385178	Linear Algebra and Its Applications	Lay, David C.	Addison Wesley	2012	512.5		science_mathematics
9780131907294	Linear algebra	Otto Bretscher	Prentice Hall	1997	512.5	QA184	algebra|algebras_linear|linjr_algebra
9780387950273	Linear mixed models for longitudinal data	Verbeke, Geert|Molenberghs, Geert	Springer	2000	519.5	QA279	linear_models_statistics|longitudinal_method|models_statistical|longitudinal_studies
9780471754985	Linear models in statistics	Rencher, Alvin C.|G. Bruce Schaalje	Wiley-Interscience	2008	519.535	QA276	linear_models_statistics
9781584884255	Linear Models with R	Julian J. Faraway	Chapman & Hall/CRC	2005	519.5		amazon_com_science_mathematics_applied_probability_statistic|amazon_com_professional_technical_professional_science_aaaa6
9780534980382	Matrices with applications in statistics	Graybill, Franklin A.	Wadsworth International Group	1983	512.9434	QA188	matrices|linear_models_statistics
9780470009611	Matrix algebra useful for statistics	Shayle R. Searle	Wiley-Interscience	2006	512.9434	QA188	matrices|statistics
9780471458418	Methods for testing and evaluating survey questionnaires	Presser, Stanley|Jennifer M. Rothgeb|Couper, Mick|Lessler, Judith|Martin, Elizabeth|Martin, Jean|Singer, Eleanor	Wiley-Interscience	2004	300.723	HM538	social_surveys_methodology|questionnaires_methodology|social_sciences_research_methodology
9780471418894	Methods of multivariate analysis	Rencher, Alvin C.	J. Wiley	2002	519.535	QA278	multivariate_analysis
9781584883258	Modelling survival data in medical research	David Collett	Chapman & Hall/CRC	2003	610		amazon_com_reference_education_research|amazon_com_medicine_research_biostatistics|amazon_com_medicine_research_general|amazon_com_professional_technical_professional_science_aaah0|amazon_com_professional_technical_medical_research|survival_analysis_biometry|clinical_trials_statistical_methods
9780470740521	Multiple imputation and its application	Carpenter, James M.|Kenward, Michael	Wiley	2013	610.724		medical_statistics1|medicine_research_methodology1|data_interpretation_statistical1|biomedical_research_x_methods
9780138132316	Multivariate data analysis	Hair, Joseph F.	Prentice Hall	2010	519.5		multivariate_analysis1
9780525953722	No Easy Day	Mark Owen	Dutton Adult	2012	958.0		history_asia_afghanistan|history_military_aaaa1
9780486682525	Number theory	Andrews, George E.	Dover Publications	1994	512.7	QA241	amazon_com_science_mathematics_pure_mathematics_number_theor|amazon_com_professional_technical_professional_science_aaag0|talteori|mathematics|number_theory
9780471939344	Practical methods for design and analysis of complex surveys	Lehtonen, Risto|Pahkinen, Erkki	Wiley	1995	001.4	QA276.6	sampling_statistics|surveys_methodology
9780534229023	Principles of biostatistics	Pagano, Marcello|Gauvreau, Kimberlee	Duxbury	2000	570.15195	QH323.5	biometry
9780763702922	Programming and problem solving with C++	Dale, Nell B.|Weems, Chip|Headington, Mark R.	Jones and Bartlett	1997	5.133		c_computer_program_language
9780763717636	Programming and problem solving with Visual Basic. NET	Dale, Nell B.|McMillan, Michael|Weems, Chip|Headington, Mark R.	Jones and Bartlett Publishers	2003	5.2768	QA76.73	amazon_com_computers_internet_microsoft_development_visual_b|microsoft_visual_basic|basic_computer_program_language
9780735621831	Programming Microsoft Visual Basic 2005	Balena, Francesco	Microsoft	2006	5.2768		microsoft_visual_basic_computer_file|microsoft_net_framework_aaaa0
9780312654801	Public opinion	Holloway, Harry|George, John	St. Martin's Press	1979	303.380973	HN90	public_opinion_united_states
9780387985220	Random number generation and Monte Carlo methods	Gentle, James E.	Springer	1998	519.282	QA298	monte_carlo_method|random_number_generators
9781557982735	Reading and understanding multivariate statistics	Grimm, Laurence G.|Yarnold, Paul R.	American Psychological Association	1995	001.4	QA278	amazon_com_health_mind_body_psychology_counseling_research|amazon_com_health_mind_body_psychology_counseling_statistics|multivariate_analysis|psychometrics
9780312173005	Rogue regimes	Tanter, Raymond	St. Martin's Press	1998	327.117	D412.7	khomeini_ruhollah|hashimi_rafsanjani_ali_akbar|hussein_saddam_1937|qaddafi_muammar|assad_hafez_1928|castro_fidel_1927|kim_chong_gil_1926|dictators_biography|state_sponsored_terrorism|nuclear_nonproliferation|national_security_united_states|united_states_foreign_relations_20th_century
9780340545539	Sample survey principles and methods	Barnett, Vic	Edward Arnold	1991	519.5		sampling_statistics|social_surveys
9780470402313	Sampling	Thompson, Steven K.	Wiley	2012	519.52		science_math_mathematics
9780534353612	Sampling	Lohr, Sharon L.	Duxbury Press	1999	519.5	HA31.2	sampling_statistics
9780534979867	Sampling for health professionals	Levy, Paul|Lemeshow, Stanley	Lifetime Learning Publications	1980	362.10723	RA409	health_surveys_statistical_methods|sampling_statistics|sampling_studies|statistics
9781584882145	Sampling methodologies	Miller, William C.	Chapman & Hall/CRC	2000	519.52	HA31.2	social_sciences_statistical_methods|sampling_statistics
9780471155751	Sampling of populations	Levy, Paul|Lemeshow, Stanley	Wiley	1999	304.60151952	HB849.49	population_statistical_methods|sampling_statistics
9780471508229	Sampling of populations	Levy, Paul|Lemeshow, Stanley	Wiley	1991	304.60151952	HB849.49	population_statistical_methods|sampling_statistics
9780470454602	Sampling statistics	Fuller, Wayne Edison	Wiley	2009	519.52	QA276.6	professional_technical_professional_science_mathematics_appl|science_mathematics_applied_probability_statistics|science_general_aaaa0|sampling_statistics|estimation_theory|mathematical_statistics
9780672329845	Sams teach yourself Visual BASIC 2008 in 24 hours	Foxall, James D.	Sams Pub	2008	5.2762		computers_internet_programming_introductory_beginning|computers_internet_programming_languages_tools_visual_basic_|computers_internet_programming_languages_tools_c|computers_internet_microsoft_development_visual_basic|computers_internet_software|microsoft_visual_basic|dvds|computer_software|basic_computer_program_language
9781555444211	SAS	N/A	SAS	1991	519.5		estadistica_matematica_procesamiento_electronico_de_datos|estadistica_matematica_metodos_graficos|sas_programa_de_computadora
9780471221746	SAS for linear models	Littell, Ramon C.|Walter W. Stroup|Freund, Rudolf	SAS Institute	2002	519.535	QA276.4	amazon_com_computers_internet_digital_business_culture_proje|amazon_com_science_mathematics_applied_probability_statistic|amazon_com_professional_technical_professional_science_aaaa6|sas_computer_file|linear_models_statistics_data_processing
9781555443719	SAS Language and Procedures 	N/A	SAS Institute	1989	519.502855369		computers_internet_operating_systems_general|computers_internet_programming_languages_tools_general|computers_internet_programming_general|computers_internet_general|professional_technical_professional_science_mathematics_appl|professional_technical_professional_science_mathematic_aaac4|science_mathematics_applied_probability_statistics
9781555444303	SAS System for Linear Models, Third Edition	Littell, Ramon C.|Freund, Rudolf|Philip C. Spector	SAS Institute	1991	519.502855369		
9780312325695	Short term trading in the new stock market	Toni Turner	St. Martin's Press	2005	332.6322	HG6041	speculation|stocks|investment_analysis
9780486668932	Singular Integral Equations	Muskhelishvili, N. I.	Dover Publications	1992	515.45		professional_technical_professional_science_mathematics_pure|professional_technical_professional_science_mathematic_aaac4|professional_technical_professional_science_physics_mathemat|science_mathematics_mathematical_analysis|science_mathematics_pure_mathematics_calculus|science_mathematics_general|science_physics_mathematical_physics|science_general_aaaa0
9781400049523	Slander: Liberal Lies About the American Right	Coulter, Ann H.	Three Rivers Press	2002	320.52		amazon_com_nonfiction_politics_general|amazon_com_nonfiction_politics_history_theory|amazon_com_nonfiction_politics_political_parties
9780471413745	Small area estimation	Rao, J. S.	Wiley-Interscience	2003	519.52	QA276.6	sampling_statistics|estimation_theory
9780486646848	Some theory of sampling	William Edwards Deming	Dover Publications	2000	311	HA33	sampling_statistics
9780387988634	Statistical consulting	Cabrera, Javier|McDougall, Andrew	Springer	2002	1.422	HA29	social_sciences_statistics|statistical_consultants
9780314068064	Statistics for the behavioral sciences	Gravetter, Frederick J.|Wallnau, Larry B.	West Pub. Co	1996	519.50243	BF39	psychology_statistical_methods|educational_statistics|psychology|statistics|psychometrics|education
9780471818847	Stochastic simulation	Ripley, Brian D.	J. Wiley	1987	1.434	QA76.9	digital_computer_simulation|stochastic_processes
9780321388834	Student Study Guide for Linear Algebra and Its Applications	Lay, David C.	Pearson Education (US)	2012	512		science_mathematics
9780471483489	Survey methodology	Groves, Robert M.	John Wiley	2004	1.433	HA31.2	surveys_methodology|social_surveys_methodology|social_sciences_research_statistical_methods
9780387953991	Survival analysis	Klein, John|Moeschberger, Melvin L.	Springer	2003	610		survival_analysis_biometry
9781575210735	Teach Yourself Javascript in a Week	Danesh, Arman	Sams	1996	005.13		
9780672310454	Teach Yourself Transact-SQL in 21 Days	Bennett W. McEwan|Solomon, David A.	Sams	1997	005.75		
9780131345973	Technical analysis plain and simple	Kahn, Michael D.	Financial Times Prentice Hall	2006	332.632042	HG4529	investment_analysis
9780387988641	Testing statistical hypotheses	Romano, Joseph P.	Springer	2005	519.5	QA277	statistical_hypothesis_testing
9780226092539	The American voter	Campbell, Angus	University of Chicago Press	1960	324		elections_united_states
9780312136345	The Bedford Reader	Kennedy, X. J.|Kennedy, Dorothy M.|Aaron, Jane	Bedford/St Martins	1997	808.0427		
9780387848570	The elements of statistical learning	Hastie, Trevor|Tibshirani, Robert|Friedman, Jerome	Springer	2009	006.3		computers_internet_computer_science_artificial_intelligence_|computers_internet_databases_data_mining|professional_technical_professional_science_mathematics_appl|science_biological_sciences_bioinformatics|science_mathematics_applied_probability_statistics|science_general_aaaa0|science_general_aas|data_mining|inference|forecasting|supervised_learning_machine_learning
